"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group A","some high school","standard","none","47","55","52"
"female","group B","some college","standard","none","55","66","61"
"male","group B","some college","free/reduced","none","57","60","57"
"female","group E","some high school","standard","none","69","67","63"
"male","group B","associate's degree","free/reduced","none","77","72","64"
"male","group C","high school","free/reduced","none","47","48","48"
"female","group B","high school","standard","completed","89","95","98"
"female","group D","associate's degree","standard","none","91","96","97"
"female","group D","some college","standard","none","79","79","82"
"female","group D","bachelor's degree","free/reduced","completed","56","67","69"
"female","group C","bachelor's degree","standard","none","65","80","79"
"female","group D","bachelor's degree","free/reduced","none","62","70","71"
"female","group C","associate's degree","standard","none","64","79","72"
"female","group D","high school","standard","none","60","62","60"
"female","group C","associate's degree","free/reduced","completed","61","81","78"
"female","group C","some college","standard","completed","62","69","61"
"female","group C","some high school","free/reduced","none","22","44","36"
"male","group C","master's degree","free/reduced","completed","52","61","57"
"female","group B","some college","free/reduced","completed","66","80","82"
"male","group B","associate's degree","free/reduced","completed","60","52","60"
"male","group E","high school","standard","none","73","76","68"
"male","group D","bachelor's degree","standard","none","80","75","70"
"female","group E","some high school","standard","none","98","91","96"
"male","group A","bachelor's degree","standard","none","43","50","46"
"female","group C","master's degree","standard","none","75","88","83"
"female","group C","associate's degree","free/reduced","completed","63","71","70"
"female","group E","some high school","free/reduced","none","54","56","56"
"female","group C","associate's degree","free/reduced","none","51","72","61"
"female","group E","master's degree","standard","none","61","61","64"
"male","group C","some high school","standard","none","59","56","50"
"male","group E","bachelor's degree","free/reduced","none","62","61","60"
"male","group E","some high school","standard","none","86","83","75"
"female","group C","high school","standard","completed","88","100","100"
"male","group C","associate's degree","standard","completed","85","89","83"
"female","group B","bachelor's degree","standard","none","77","76","77"
"female","group C","master's degree","free/reduced","completed","45","49","61"
"female","group D","bachelor's degree","standard","none","91","91","96"
"female","group B","some high school","standard","none","68","80","74"
"male","group A","some college","free/reduced","completed","54","50","54"
"female","group C","associate's degree","standard","completed","64","67","63"
"female","group C","some high school","free/reduced","none","60","71","66"
"male","group B","associate's degree","standard","completed","62","72","66"
"female","group D","associate's degree","standard","none","82","85","79"
"female","group D","some college","free/reduced","completed","64","74","77"
"female","group B","associate's degree","standard","none","75","80","84"
"male","group C","some college","free/reduced","none","56","62","60"
"female","group D","some high school","standard","none","32","31","34"
"male","group C","high school","standard","completed","55","53","48"
"male","group D","master's degree","standard","completed","82","84","86"
"male","group D","master's degree","free/reduced","none","65","63","60"
"female","group C","some college","free/reduced","completed","55","76","74"
"male","group E","some high school","free/reduced","completed","55","59","53"
"female","group C","some college","standard","none","85","88","88"
"male","group C","some college","standard","none","65","59","60"
"female","group E","some college","free/reduced","completed","67","75","81"
"male","group C","bachelor's degree","free/reduced","completed","63","69","62"
"female","group A","high school","standard","completed","68","77","82"
"female","group C","high school","free/reduced","completed","37","58","57"
"male","group A","high school","standard","none","55","59","53"
"female","group C","some college","standard","none","84","85","88"
"female","group E","associate's degree","free/reduced","completed","75","83","90"
"female","group D","associate's degree","free/reduced","none","74","80","81"
"male","group D","associate's degree","standard","none","65","64","65"
"male","group E","high school","free/reduced","completed","64","66","58"
"female","group B","master's degree","free/reduced","completed","55","76","76"
"male","group C","master's degree","standard","none","98","92","93"
"male","group A","some high school","free/reduced","none","50","53","48"
"male","group D","master's degree","standard","none","92","94","94"
"male","group B","some college","standard","completed","78","80","82"
"male","group A","some college","standard","none","53","56","58"
"female","group C","some college","standard","completed","60","77","77"
"female","group C","some college","standard","none","69","74","71"
"female","group C","some college","free/reduced","completed","52","74","76"
"male","group C","high school","free/reduced","completed","63","60","59"
"male","group B","some high school","free/reduced","none","38","60","52"
"female","group E","some college","standard","none","86","90","91"
"female","group D","some college","standard","none","81","80","81"
"female","group C","some high school","standard","none","82","86","84"
"male","group B","associate's degree","free/reduced","none","79","78","77"
"male","group D","some college","standard","completed","50","54","57"
"male","group D","high school","standard","none","65","60","60"
"male","group D","master's degree","free/reduced","completed","73","80","82"
"female","group B","associate's degree","standard","none","73","83","82"
"male","group C","associate's degree","standard","completed","78","80","80"
"female","group B","associate's degree","standard","none","56","61","60"
"female","group B","bachelor's degree","free/reduced","none","61","66","64"
"male","group C","master's degree","standard","completed","95","92","94"
"female","group E","bachelor's degree","standard","completed","100","100","100"
"female","group C","high school","standard","none","40","58","60"
"male","group B","bachelor's degree","standard","none","84","83","78"
"female","group D","associate's degree","standard","none","91","91","98"
"female","group D","some high school","standard","none","61","73","72"
"female","group D","high school","standard","none","89","95","91"
"female","group C","some college","free/reduced","none","39","48","50"
"female","group E","bachelor's degree","free/reduced","completed","70","90","84"
"male","group E","some college","free/reduced","none","81","77","78"
"female","group B","some high school","free/reduced","none","46","57","54"
"male","group C","high school","standard","completed","55","62","55"
"male","group C","some college","standard","none","67","75","70"
"male","group D","associate's degree","free/reduced","none","61","68","64"
"male","group B","some high school","standard","completed","66","71","71"
"male","group E","some college","standard","none","92","80","78"
"female","group C","some high school","standard","completed","65","71","70"
"female","group D","associate's degree","free/reduced","completed","62","67","73"
"female","group C","some college","standard","none","52","54","51"
"female","group D","high school","standard","none","79","90","87"
"female","group E","some high school","standard","none","69","75","72"
"female","group D","some high school","standard","none","47","39","45"
"female","group D","some college","standard","completed","66","78","84"
"female","group C","high school","standard","completed","62","68","68"
"female","group C","associate's degree","standard","completed","48","61","64"
"male","group D","associate's degree","standard","none","88","76","83"
"male","group C","some college","free/reduced","none","36","41","34"
"male","group B","bachelor's degree","standard","none","92","90","82"
"female","group E","high school","standard","none","94","95","92"
"female","group E","some high school","standard","none","89","97","97"
"female","group B","associate's degree","free/reduced","none","46","54","57"
"male","group C","some high school","free/reduced","none","48","44","44"
"female","group C","high school","free/reduced","none","30","51","46"
"male","group A","associate's degree","standard","completed","45","34","34"
"female","group C","associate's degree","standard","completed","80","90","92"
"female","group C","some high school","standard","none","71","71","67"
"male","group C","bachelor's degree","free/reduced","completed","50","46","39"
"female","group D","associate's degree","standard","none","74","84","86"
"male","group D","some college","standard","none","74","76","64"
"male","group B","bachelor's degree","standard","none","76","74","73"
"male","group D","high school","standard","none","92","83","82"
"male","group C","some college","standard","none","61","49","46"
"male","group C","bachelor's degree","free/reduced","none","50","41","48"
"male","group D","bachelor's degree","standard","completed","77","59","69"
"female","group D","associate's degree","free/reduced","none","46","59","61"
"male","group D","some college","standard","completed","83","77","82"
"male","group E","some high school","standard","completed","100","86","90"
"male","group C","some college","free/reduced","none","74","66","54"
"female","group C","bachelor's degree","standard","none","23","29","28"
"female","group D","bachelor's degree","free/reduced","none","60","59","70"
"female","group A","some high school","standard","completed","43","63","64"
"male","group C","some college","free/reduced","none","52","56","51"
"female","group C","some college","standard","completed","50","61","57"
"female","group C","master's degree","standard","none","71","76","77"
"female","group B","high school","standard","completed","74","90","86"
"female","group B","some college","standard","none","44","52","57"
"male","group A","associate's degree","standard","none","92","82","83"
"female","group B","associate's degree","free/reduced","none","66","64","64"
"female","group A","some college","free/reduced","completed","62","80","84"
"female","group C","associate's degree","standard","completed","69","78","80"
"male","group C","some college","standard","none","80","74","71"
"male","group D","bachelor's degree","free/reduced","none","83","75","85"
"male","group B","high school","standard","none","49","55","51"
"male","group D","some college","standard","none","73","63","68"
"male","group C","associate's degree","standard","none","64","60","61"
"male","group C","some college","standard","none","83","77","72"
"male","group E","associate's degree","standard","completed","77","69","74"
"male","group B","some high school","standard","completed","87","79","83"
"male","group D","master's degree","standard","none","76","77","71"
"male","group E","associate's degree","standard","completed","55","32","45"
"female","group C","high school","standard","none","64","77","75"
"male","group C","associate's degree","standard","none","49","46","46"
"male","group C","high school","standard","none","56","58","52"
"female","group E","high school","standard","none","51","54","56"
"female","group C","some college","free/reduced","none","30","41","39"
"male","group D","some high school","standard","completed","75","68","76"
"male","group A","high school","standard","none","83","78","83"
"female","group A","some college","standard","none","62","83","76"
"female","group D","high school","free/reduced","none","60","72","69"
"female","group E","master's degree","standard","none","83","82","81"
"male","group C","bachelor's degree","free/reduced","none","70","75","66"
"male","group D","some college","standard","none","81","69","64"
"male","group B","some college","standard","none","60","57","63"
"female","group D","associate's degree","standard","completed","77","74","80"
"female","group B","some high school","standard","none","72","80","74"
"female","group B","some high school","standard","completed","71","71","73"
"male","group C","associate's degree","standard","none","56","58","47"
"female","group C","some high school","free/reduced","completed","35","47","41"
"female","group A","some college","standard","none","71","78","75"
"female","group D","some high school","free/reduced","none","43","49","48"
"female","group D","master's degree","standard","none","90","94","98"
"male","group B","some college","standard","none","55","60","54"
"female","group B","some high school","standard","none","67","83","83"
"male","group A","associate's degree","standard","none","55","41","40"
"male","group C","some college","free/reduced","completed","56","54","54"
"male","group C","associate's degree","standard","none","65","69","73"
"female","group C","high school","standard","none","66","77","65"
"male","group B","some college","standard","none","80","83","73"
"female","group B","high school","standard","none","56","64","57"
"female","group A","bachelor's degree","standard","none","67","68","71"
"male","group D","associate's degree","standard","none","93","74","76"
"female","group D","some high school","standard","completed","76","93","91"
"female","group E","bachelor's degree","standard","none","73","77","77"
"male","group D","bachelor's degree","free/reduced","completed","59","55","59"
"female","group B","some high school","standard","none","61","70","68"
"male","group E","associate's degree","free/reduced","none","61","66","58"
"male","group D","some college","standard","none","46","32","31"
"male","group C","associate's degree","free/reduced","none","84","85","75"
"female","group E","some college","standard","none","93","96","97"
"female","group D","associate's degree","standard","none","79","83","85"
"female","group B","some high school","standard","none","48","59","51"
"male","group B","some high school","standard","none","59","63","60"
"male","group C","associate's degree","standard","none","68","60","64"
"female","group B","associate's degree","standard","completed","97","100","100"
"female","group D","associate's degree","standard","none","68","82","82"
"female","group D","high school","free/reduced","none","46","60","58"
"male","group A","high school","standard","none","59","61","65"
"male","group C","associate's degree","free/reduced","completed","83","87","82"
"female","group A","some college","free/reduced","none","36","55","51"
"male","group D","high school","standard","none","64","62","57"
"female","group E","some high school","free/reduced","completed","57","68","72"
"male","group B","master's degree","free/reduced","none","65","68","67"
"female","group B","bachelor's degree","free/reduced","none","61","80","82"
"male","group C","bachelor's degree","free/reduced","none","83","79","74"
"male","group D","some college","free/reduced","completed","53","56","58"
"male","group B","some college","free/reduced","none","53","51","41"
"male","group E","some college","standard","none","68","57","56"
"female","group D","master's degree","standard","completed","93","99","98"
"female","group E","high school","standard","none","85","90","86"
"female","group A","some high school","standard","none","72","75","68"
"male","group C","some college","free/reduced","completed","51","56","57"
"male","group C","high school","free/reduced","completed","74","64","67"
